[21 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[22 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 45 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[23 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 44 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[24 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 44 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[25 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 43 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[26 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[27 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 43 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[28 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 44 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[29 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 44 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[30 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 43 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[31 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[32 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[33 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[34 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[35 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 40 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[36 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 40 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[37 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[38 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[39 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[40 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
